,Class,Location
3685,M,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/M/P5_003.jpg
1538,L,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/L/P3_006.jpg
2941,E,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/E/P3_003.jpg
2827,B,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/B/P2_008.jpg
3818,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/N/P4_008.jpg
660,F,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/F/P3_004.jpg
1653,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/N/P4_003.jpg
2185,X,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/X/P2_008.jpg
1736,H,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/H/P3_008.jpg
3835,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/N/P2_007.jpg
404,V,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/V/P5_004.jpg
3868,L,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/L/P3_006.jpg
1869,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/C/P2_003.jpg
2573,I,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/I/P4_003.jpg
2993,G,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/G/P1_006.jpg
326,M,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/M/P5_002.jpg
1441,M,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/M/P5_007.jpg
3876,L,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/L/P2_006.jpg
2376,Y,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Y/P3_008.jpg
3421,V,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/V/P3_003.jpg
3904,I,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/I/P4_001.jpg
298,R,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/R/P3_006.jpg
1968,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/A/P4_008.jpg
2495,J,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/J/P4_001.jpg
3045,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/C/P5_004.jpg
1286,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/Q/P5_002.jpg
2448,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Q/P4_007.jpg
1040,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/U/P5_009.jpg
3724,E,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/E/P5_004.jpg
490,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/U/P4_007.jpg
3015,F,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/F/P4_001.jpg
2890,H,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/H/P4_006.jpg
543,O,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/O/P3_001.jpg
3947,H,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/H/P3_008.jpg
998,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/A/P1_002.jpg
1903,E,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/E/P2_008.jpg
3166,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/Z/P5_002.jpg
2808,B,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/B/P4_008.jpg
1282,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/Q/P5_006.jpg
3843,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/N/P1_007.jpg
2379,Y,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Y/P3_005.jpg
3103,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/A/P3_001.jpg
2669,O,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/O/P2_003.jpg
3834,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/N/P2_008.jpg
3953,H,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/H/P3_002.jpg
969,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/A/P4_007.jpg
2455,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Q/P4_001.jpg
3452,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/U/P4_003.jpg
28,Y,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/Y/P2_004.jpg
2372,Y,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Y/P4_004.jpg
3446,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/U/P5_002.jpg
3635,J,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/J/P1_005.jpg
3423,V,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/V/P3_001.jpg
2371,Y,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Y/P4_005.jpg
3397,W,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/W/P1_003.jpg
564,G,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/G/P5_004.jpg
2127,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/U/P5_001.jpg
1788,K,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/K/P2_004.jpg
270,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/T/P2_002.jpg
467,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/S/P2_005.jpg
204,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/N/P5_004.jpg
2905,H,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/H/P2_007.jpg
3768,G,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/G/P4_007.jpg
2111,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/S/P2_001.jpg
1465,M,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/M/P2_007.jpg
769,K,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/K/P4_007.jpg
4053,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/A/P5_008.jpg
2358,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Z/P1_002.jpg
110,X,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/X/P2_002.jpg
3741,E,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/E/P3_003.jpg
2141,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/U/P3_003.jpg
3709,M,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/M/P2_003.jpg
2830,B,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/B/P2_006.jpg
3822,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/N/P4_004.jpg
2912,H,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/H/P1_008.jpg
1044,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/U/P5_005.jpg
1228,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/Z/P2_004.jpg
922,L,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/L/P5_005.jpg
2885,H,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/H/P5_003.jpg
1819,G,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/G/P3_005.jpg
3280,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/S/P5_008.jpg
3279,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/Q/P1_003.jpg
992,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/A/P1_008.jpg
101,X,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/X/P3_003.jpg
2988,G,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/G/P2_004.jpg
2011,D,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/D/P4_005.jpg
3652,F,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/F/P4_003.jpg
3616,J,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/J/P3_008.jpg
2314,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/T/P1_006.jpg
1131,V,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/V/P4_005.jpg
172,P,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/P/P4_004.jpg
1219,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/Z/P3_005.jpg
1925,B,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/B/P5_003.jpg
251,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/T/P4_005.jpg
4082,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/A/P2_002.jpg
2064,F,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/F/P2_008.jpg
1279,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/T/P1_001.jpg
2764,K,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/K/P5_004.jpg
244,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/T/P5_004.jpg
279,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/T/P1_001.jpg
2545,M,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/M/P2_007.jpg
1153,V,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/V/P1_007.jpg
2971,G,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/G/P4_005.jpg
44,W,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/W/P5_004.jpg
1133,V,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/V/P4_003.jpg
55,W,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/W/P4_001.jpg
2337,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Z/P3_007.jpg
3284,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/S/P5_004.jpg
2456,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Q/P3_008.jpg
1674,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/N/P1_006.jpg
3924,I,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/I/P1_006.jpg
3743,E,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/E/P3_001.jpg
425,V,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/V/P2_007.jpg
3266,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/Q/P2_006.jpg
448,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/S/P4_008.jpg
811,I,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/I/P4_005.jpg
676,F,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/F/P1_004.jpg
3107,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/A/P2_005.jpg
130,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/Z/P4_006.jpg
2452,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Q/P4_008.jpg
1180,R,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/R/P3_004.jpg
3693,M,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/M/P4_003.jpg
169,P,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/P/P4_007.jpg
1094,X,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/X/P4_002.jpg
2289,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/T/P4_007.jpg
2258,V,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/V/P4_002.jpg
870,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/C/P2_003.jpg
4045,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/C/P1_004.jpg
1547,L,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/L/P2_005.jpg
740,E,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/E/P3_005.jpg
219,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/N/P3_005.jpg
2757,L,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/L/P1_003.jpg
459,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/S/P3_005.jpg
183,P,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/P/P3_001.jpg
1446,M,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/M/P5_002.jpg
3702,M,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/M/P3_002.jpg
4022,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/C/P4_004.jpg
593,G,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/G/P1_005.jpg
1987,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/A/P2_005.jpg
1454,M,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/M/P4_002.jpg
2613,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/N/P4_003.jpg
939,L,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/L/P3_005.jpg
478,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/S/P1_002.jpg
3821,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/N/P4_005.jpg
1609,P,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/P/P4_006.jpg
1222,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/Z/P3_002.jpg
162,P,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/P/P5_006.jpg
1316,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/Q/P1_006_2.jpg
1723,H,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/H/P5_005.jpg
2949,E,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/E/P2_003.jpg
1169,R,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/R/P4_007.jpg
1061,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/U/P3_003.jpg
1323,W,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/W/P5_005.jpg
657,F,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/F/P3_007.jpg
1501,O,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/O/P3_001.jpg
2159,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/U/P1_001.jpg
974,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/A/P4_002.jpg
4068,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/A/P3_008.jpg
1767,K,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/K/P5_001.jpg
2574,I,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/I/P4_002.jpg
1054,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/U/P4_002.jpg
1913,E,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/E/P1_006.jpg
921,L,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/L/P5_006.jpg
2359,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Z/P1_001.jpg
88,X,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/X/P4_008.jpg
1586,I,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/I/P2_006.jpg
3933,H,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/H/P5_006.jpg
3246,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/Q/P5_002.jpg
1857,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/C/P3_007.jpg
2504,J,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/J/P2_008.jpg
2425,P,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/P/P2_007.jpg
3466,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/U/P2_006.jpg
2059,F,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/F/P3_005.jpg
2985,G,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/G/P2_007.jpg
1534,L,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/L/P4_002.jpg
3144,Y,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/Y/P2_008.jpg
1181,R,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/R/P3_003.jpg
1499,O,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/O/P3_003.jpg
436,V,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/V/P1_004.jpg
1936,B,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/B/P3_008.jpg
2112,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/S/P1_008.jpg
2987,G,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/G/P2_005.jpg
248,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/T/P4_008.jpg
762,K,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/K/P5_006.jpg
477,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/S/P1_003.jpg
3934,H,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/H/P5_005.jpg
95,X,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/X/P4_001.jpg
369,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/Q/P4_007.jpg
1392,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/S/P1_008.jpg
3629,J,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/J/P2_003.jpg
3325,O,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/O/P5_003.jpg
396,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/Q/P1_004_4.jpg
3781,G,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/G/P3_006.jpg
3210,R,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/R/P4_006.jpg
2528,M,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/M/P4_006.jpg
2875,D,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/D/P1_005.jpg
1113,X,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/X/P1_007.jpg
148,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/Z/P2_004.jpg
3574,P,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/P/P4_002.jpg
4085,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/A/P1_007.jpg
152,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/Z/P1_008.jpg
3221,R,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/R/P3_003.jpg
2153,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/U/P1_007.jpg
1362,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/S/P5_006.jpg
1305,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/Q/P2_007.jpg
2288,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/T/P4_008.jpg
3908,I,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/I/P3_006.jpg
3797,G,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/G/P2_005.jpg
1010,B,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/B/P4_006.jpg
3576,P,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/P/P3_008.jpg
22,Y,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/Y/P3_002.jpg
2385,Y,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Y/P2_007.jpg
2190,X,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/X/P2_003.jpg
472,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/S/P1_008.jpg
2655,O,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/O/P4_001.jpg
724,E,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/E/P5_004.jpg
2339,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Z/P3_005.jpg
131,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/Z/P4_005.jpg
858,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/C/P3_007.jpg
599,G,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/G/P3_004.jpg
311,R,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/R/P2_001.jpg
976,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/A/P3_008.jpg
3810,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/N/P5_008.jpg
3748,E,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/E/P2_004.jpg
3174,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/Z/P4_002.jpg
1215,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/Z/P3_009.jpg
2413,P,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/P/P4_003.jpg
1998,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/A/P1_002.jpg
1505,O,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/O/P2_005.jpg
461,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/S/P3_003.jpg
3708,M,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/M/P2_004.jpg
511,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/U/P2_001.jpg
3486,X,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/X/P5_002.jpg
3302,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/S/P3_002.jpg
940,L,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/L/P3_004.jpg
1849,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/C/P4_007.jpg
1079,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/U/P1_001.jpg
923,L,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/L/P5_004.jpg
1504,O,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/O/P2_006.jpg
